code,formation,start_time,location,operation_line,url
49K,233H014,11:30,<br/>,┌東神奈1341←1240八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,└東神奈1352→1437橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,┌桜木町1536←1445橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町1542→1646八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,┌磯　子1818←1658八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,└磯　子1830→1935橋　本,https://loo-ool.com/rail/H/22/20250909/?U=49K
17K(1),233H012,06:56,<br/>,┌桜木町0646←0555橋　本,https://loo-ool.com/rail/H/23/20250909/?U=17K
17K(1),233H012,06:56,<br/>,└桜木町0651→0758八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=17K
17K(1),233H012,06:56,<br/>,大　船0937←0803八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=17K
17K(1),233H012,06:56,<br/>,－－－－－－－－－－－,https://loo-ool.com/rail/H/23/20250909/?U=17K
17K(1),233H012,06:56,<br/>,大　船2052→2222八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=17K
17K(1),233H012,06:56,<br/>,東神奈2327←2232八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=17K
09K(1),233H021,06:33,<br/>,小　机0628→0714八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,┌桜木町0824←0719八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,└桜木町0832→0925橋　本,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,－－－－－－－－－－－,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,┌東神奈1835←1751橋　本,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,└東神奈1843→1943八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,┌東神奈2051←1955八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=09K
09K(1),233H021,06:33,<br/>,└東神奈2104→2148橋　本,https://loo-ool.com/rail/H/23/20250909/?U=09K
25K,233H002,11:09,<br/>,東神奈0518→0613八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈0714←0618八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈0717→0815八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈0917←0820八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈0926→1011橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌桜木町1115←1024橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└桜木町1121→1215八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈1321←1220八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈1332→1417橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌桜木町1516←1425橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└桜木町1521→1615八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈1723←1627八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈1741→1827橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈1918←1834橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈1925→2023八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈2132←2037八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈2137→2221橋　本,https://loo-ool.com/rail/H/23/20250909/?U=25K
25K,233H002,11:09,<br/>,東神奈0518→0613八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈0714←0618八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈0717→0815八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈0917←0820八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈0926→1011橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌桜木町1115←1024橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└桜木町1121→1215八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈1321←1220八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈1332→1417橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌桜木町1516←1425橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└桜木町1521→1615八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈1723←1627八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈1741→1827橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈1918←1834橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈1925→2023八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,┌東神奈2132←2037八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=25K
25K,233H002,11:09,<br/>,└東神奈2137→2221橋　本,https://loo-ool.com/rail/H/22/20250909/?U=25K
29K,233H008,06:49,<br/>,東神奈0646→0743八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈0848←0748八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈0852→0936橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町1037←0945橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町1042→1135八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈1241←1140八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈1252→1337橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町1436←1345橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町1441→1535八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町1647←1541八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町1656→1803八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈1906←1808八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈1913→2012八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌桜木町2131←2026八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└桜木町2136→2238八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,┌東神奈2341←2246八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=29K
29K,233H008,06:49,<br/>,└東神奈2348→0032橋　本,https://loo-ool.com/rail/H/22/20250909/?U=29K
17K(1),233H012,06:56,<br/>,┌桜木町0646←0555橋　本,https://loo-ool.com/rail/H/22/20250909/?U=17K
17K(1),233H012,06:56,<br/>,└桜木町0651→0758八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=17K
17K(1),233H012,06:56,<br/>,大　船0937←0803八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=17K
17K(1),233H012,06:56,<br/>,－－－－－－－－－－－,https://loo-ool.com/rail/H/22/20250909/?U=17K
17K(1),233H012,06:56,<br/>,大　船2052→2222八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=17K
17K(1),233H012,06:56,<br/>,東神奈2327←2232八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=17K
13K,233H004,08:18,<br/>,┌東神奈0549←0453八王子,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,└東神奈0555→0650八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌東神奈0755←0657八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,└東神奈0758→0829町　田┐,https://loo-ool.com/rail/H/22/20250909/?U=13K
13K,233H004,08:18,<br/>,┌東神奈0906←0835町　田┘,https://loo-ool.com/rail/H/22/20250909/?U=13K
